name,price,rating,store,image
itel vision A26 (2/32) garansi resmi by infinix,Rp860.000,4.9,murahmeriah shop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/12/4e32b47d-1c08-4bab-9052-517c84ed3099.jpg.webp?ect=4g
Xiaomi Poco M3 Pro 5G 6/128 GB Garansi Resmi,Rp2.936.000,4.9,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/26/46a33af4-9efa-4f32-b694-02d7df878643.jpg.webp?ect=4g
Xiaomi Redmi Note 9 6/128 GB Garansi Resmi,Rp2.433.000,4.9,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/product-1/2020/6/18/2608727/2608727_a9cc5f8e-5233-4835-81ec-9221fd0c56a6_800_800.webp?ect=4g
Samsung Galaxy A03S 4/64 GB Garansi Resmi,Rp1.745.000,4.9,Garasi.ku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/2/a1e40911-f0c5-4975-a6f9-0a368d67bc69.jpg.webp?ect=4g
SAMSUNG GALAXY A52 8/128 GARANSI RESMI,Rp4.875.000,4.9,jikalaku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/19/0918a07a-e8a7-4b45-aac7-9375e9ff323f.jpg.webp?ect=4g
XIAOMI POCOPHONE POCO M3 - 6GB 128GB - 6/128 GARANSI RESMI,Rp2.349.900,5.0,Shopyz ID,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/25/15e17507-4741-4c54-a282-0511d112e02f.jpg.webp?ect=4g
Xiaomi Mi 11 Lite 6/64GB + 6/128GB + 8/128GB Garansi Resmi,Rp3.735.000,5.0,duniagadgetku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/23/7ca4e097-b139-4f32-8c81-349da35780b6.jpg.webp?ect=4g
Xiaomi Poco M3 6/128GB 4/64GB Garansi Resmi 128 GB 64 GB Biru Hitam,Rp1.883.000,4.8,Distributor Ponsel,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/26/65239c9f-7468-46aa-a3e3-d868bd50edf9.jpg.webp?ect=4g
Xiaomi Mi 11 Lite 6/128GB NFC Snapdragon™ 732G Smartphone HP Android,Rp3.799.000,5.0,Xiaomi Official Store,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/4/4a26af09-5f7f-4d81-bfad-df96c369901a.jpg.webp?ect=4g
SAMSUNG GALAXY M32 - NFC - 5000mAh - 6GB 128GB 6/128 - Garansi Resmi,Rp2.899.900,4.9,Shopyz ID,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/29/96748ddc-68de-423e-b34b-78818ea0b715.jpg.webp?ect=4g
"HP realme C21Y 4/64GB [5000mAh, 13MP AI Triple Camera]",Rp1.799.000,4.9,realme Official Store,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/31/7f109bb1-a13d-419f-9bed-c9002da05aee.jpg.webp?ect=4g
Xiaomi Poco M3 Pro 5G 4/64GB + 6/128GB Garansi Resmi,Rp2.675.000,5.0,duniagadgetku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/30/82315e33-e4f4-496a-8f3d-5483bc21c98e.jpg.webp?ect=4g
Redmi Note 10 Pro 6/64GB + 8/128GB Garansi Resmi,Rp3.635.000,5.0,duniagadgetku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/31/5a643563-0f91-4abc-97fa-7f32ab9dbc79.jpg.webp?ect=4g
Samsung Galaxy A03S [4G] [64GB/4GB] - Garansi Resmi,Rp1.740.000,5.0,ACS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/7/c581c0d6-6def-454e-a6c0-325a993f92f6.png.webp?ect=4g
Samsung Galaxy A12 6/128GB 4/128GB Garasni SEIN 4 GB 6 GB 128 GB,Rp2.141.000,4.8,Distributor Ponsel,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/27/2292f792-3878-4270-b1d0-aff375020bd4.jpg.webp?ect=4g
"Xiaomi Redmi Note 10 Pro 8/128GB NFC 6.67"" 108MP 5020mAh Smart HP",Rp3.899.000,4.9,Xiaomi Official Store,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/8/6dc789ab-971f-4e16-b698-9bf8485205ed.png.webp?ect=4g
Samsung Galaxy A52 8/128 RAM 8GB ROM 128GB GARANSI RESMI SEIN,Rp4.988.000,5.0,Altec Cellular,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/18/b649ae51-57b4-47b4-9746-f596c9486a95.jpg.webp?ect=4g
Infinix Hot 10S 6/128GB - Garansi Resmi Infinix Indonesia,Rp1.990.000,4.9,Wahana Selular,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/24/381b50bc-27a4-4eb1-b21d-af444a029cb5.png.webp?ect=4g
REALME C11 2/32 RAM 2GB ROM 32GB GARANSI RESMI,Rp1.218.000,5.0,murahmeriah shop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/12/31935e13-558a-4334-8c74-50a06a9a2236.jpg.webp?ect=4g
Infinix Note 10 Pro 8/128 GB Garansi Resmi,Rp2.768.000,5.0,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/5fda4aa9-28f2-4156-ace0-6b6daadba525.jpg.webp?ect=4g
Xiaomi Redmi 9c 4/64 GB Garansi Resmi,Rp1.731.000,5.0,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/22/26bb0702-69f1-4ecf-a80b-f53fde22a34a.jpg.webp?ect=4g
Infinix Hot 10 Play 4/64 GB Garansi Resmi,Rp1.563.000,5.0,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/5/354e01e8-7ff6-4d3f-bddd-9a643673bdc4.jpg.webp?ect=4g
INFINIX NOTE 10 PRO NFC RAM 8 128 RAM 6 64 GARANSI RESMI,Rp2.555.000,4.9,Bintang Terang Cell,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/9/2aa16215-3e82-4546-9cdb-f8a99fc20b04.jpg.webp?ect=4g
Vivo V21 4G 8/128GB + 8/256GB Garansi Resmi Vivo Indonesia,Rp3.765.000,5.0,duniagadgetku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/26/a54bfe9e-4e57-45a1-8019-f26cf5c1c4bd.jpg.webp?ect=4g
Infinix Note 10 Pro NFC 6/64 GB + 8/128 GB Garansi Resmi,Rp2.565.000,5.0,duniagadgetku,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/19/b9dcac2e-3e41-465d-b4a8-f6ed69805772.jpg.webp?ect=4g
XIAOMI REDMI NOTE 10 5G NFC - 8GB 128GB 8/128 - DIMENSITY 700,Rp3.199.900,5.0,Shopyz ID,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/27/28eb8f53-6ca7-4781-b24f-c519f6680990.jpg.webp?ect=4g
